,Start,End,product_name,distance,high_estimate,low_estimate,duration
0,C07,C08,Black,1.04,18.0,14.0,420
1,C07,C08,UberXL,1.04,10.0,7.0,420
2,C07,C08,Pool,1.04,9.0,5.0,420
3,C07,C08,UberX,1.04,8.0,6.0,420
4,C07,C08,Black SUV,1.04,29.0,23.0,420
5,C07,C08,WAV,1.04,8.0,6.0,420
6,C07,C08,UberX Car Seat,1.04,19.0,14.0,420
7,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420
8,C07,C08,Black Car Seat,1.04,28.0,22.0,420
9,C07,C09,Black,1.61,20.0,15.0,480
10,C07,C09,UberXL,1.61,12.0,9.0,480
11,C07,C09,Pool,1.61,9.0,5.0,480
12,C07,C09,UberX,1.61,8.0,6.0,480
13,C07,C09,Black SUV,1.61,29.0,23.0,480
14,C07,C09,WAV,1.61,8.0,6.0,480
15,C07,C09,UberX Car Seat,1.61,19.0,15.0,480
16,C07,C09,Black SUV Car Seat,1.61,39.0,31.0,480
17,C07,C09,Black Car Seat,1.61,30.0,24.0,480
18,C07,C10,Black,2.74,29.0,23.0,600
19,C07,C10,UberXL,2.74,19.0,15.0,600
20,C07,C10,Pool,2.74,14.0,10.0,600
21,C07,C10,UberX,2.74,14.0,11.0,600
22,C07,C10,Black SUV,2.74,38.0,30.0,600
23,C07,C10,WAV,2.74,14.0,11.0,600
24,C07,C10,UberX Car Seat,2.74,26.0,20.0,600
25,C07,C10,Black SUV Car Seat,2.74,48.0,39.0,600
26,C07,C10,Black Car Seat,2.74,39.0,31.0,600
27,C07,C12,Black,6.31,38.0,30.0,900
28,C07,C12,UberXL,6.31,24.0,19.0,900
29,C07,C12,Pool,6.31,15.0,10.0,900
30,C07,C12,UberX,6.31,14.0,11.0,900
31,C07,C12,Black SUV,6.31,49.0,39.0,900
32,C07,C12,WAV,6.31,14.0,11.0,900
33,C07,C12,UberX Car Seat,6.31,26.0,20.0,900
34,C07,C12,Black SUV Car Seat,6.31,59.0,47.0,900
35,C07,C12,Black Car Seat,6.31,48.0,38.0,900
36,C07,C13,Black,7.47,43.0,34.0,1080
37,C07,C13,UberXL,7.47,28.0,22.0,1080
38,C07,C13,Pool,7.47,17.0,12.0,1080
39,C07,C13,UberX,7.47,16.0,13.0,1080
40,C07,C13,Black SUV,7.47,55.0,44.0,1080
41,C07,C13,WAV,7.47,16.0,13.0,1080
42,C07,C13,UberX Car Seat,7.47,28.0,22.0,1080
43,C07,C13,Black SUV Car Seat,7.47,65.0,52.0,1080
44,C07,C13,Black Car Seat,7.47,54.0,43.0,1080
45,C07,C14,Black,9.29,48.0,39.0,1140
46,C07,C14,UberXL,9.29,32.0,26.0,1140
47,C07,C14,Pool,9.29,19.0,13.0,1140
48,C07,C14,UberX,9.29,18.0,14.0,1140
49,C07,C14,Black SUV,9.29,61.0,49.0,1140
50,C07,C14,WAV,9.29,18.0,14.0,1140
51,C07,C14,UberX Car Seat,9.29,30.0,24.0,1140
52,C07,C14,Black SUV Car Seat,9.29,71.0,57.0,1140
