,Total; Estimate; Living in a place,Total; Estimate; Living in a place - Worked in place of residence,Total; Estimate; Living in a place - Worked outside place of residence,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Estimate; Not living in a place,Total; Estimate; PLACE OF WORK - Worked in state of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked in county of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked outside county of residence,Total; Estimate; PLACE OF WORK - Worked outside state of residence,Total; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Total; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - 1 vehicle available,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - 2 vehicles available,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - 3 or more vehicles available,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - No vehicle available,Total; Estimate; Workers 16 years and over,Total; Estimate; Workers 16 years and over who did not work at home,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.,year,zip
0,100.0,24.7,75.3,1.8,40.2,4.8,4.1,0.3,0.3,35.5,1.07,41.4,1.1,11.7,3.8,0.0,41.5,24.7,16.9,58.5,10.5,12.9,18.2,9.3,22.4,10.6,8.4,3.6,4.0,26.1,8935,51.6,27.0,3.1,18.3,8939,8599,0.8,1.7,1.7,3.8,5.6,10.3,13.2,26.5,18.2,18.3,16,22209
1,100.0,78.3,21.7,4.0,32.2,3.5,2.4,0.9,0.2,28.7,1.07,40.9,1.5,15.7,5.6,0.0,78.3,78.3,0.0,21.7,13.0,13.4,16.3,10.0,17.3,11.8,8.7,4.5,5.0,26.7,7443,50.6,20.0,0.2,29.2,7449,7030,0.6,1.0,3.5,3.9,6.4,10.7,12.9,21.8,15.0,24.1,17,20024
2,100.0,28.7,71.3,2.1,43.4,4.2,3.6,0.5,0.2,39.2,1.05,40.4,1.0,7.3,5.7,0.0,49.1,28.7,20.4,50.9,9.7,11.2,15.2,8.5,21.4,13.8,9.8,5.7,4.7,28.6,16502,49.4,26.3,8.5,15.8,16503,15555,1.3,0.7,1.4,4.2,8.4,15.1,16.5,22.4,14.2,15.8,16,22202
3,100.0,28.5,71.5,2.4,63.5,13.3,7.4,4.9,0.9,50.2,1.14,23.0,3.5,2.8,4.8,0.0,64.7,28.5,36.2,35.3,6.7,14.1,16.8,7.1,14.4,9.9,12.6,14.8,3.5,32.8,10823,39.8,37.8,10.8,11.6,10826,10309,1.4,3.9,2.6,12.3,12.7,13.1,11.3,16.4,7.7,18.6,16,22305
4,100.0,29.3,70.7,1.7,54.4,6.0,5.1,0.5,0.4,48.4,1.06,28.5,1.4,6.5,7.5,0.0,55.6,29.3,26.3,44.4,9.0,10.6,10.5,8.2,16.8,14.3,16.5,7.8,6.3,30.4,20909,50.1,38.2,5.7,6.0,21017,19441,1.2,1.0,2.4,4.1,9.5,17.1,15.1,19.8,12.0,17.8,16,22314
5,100.0,4.7,95.3,0.3,59.7,4.0,3.4,0.4,0.1,55.7,1.04,35.3,0.8,0.6,3.2,0.0,58.2,25.8,32.3,41.8,6.0,9.6,14.5,6.2,19.4,12.8,18.4,10.0,3.1,32.6,9233,43.4,40.4,12.9,3.4,9233,8934,2.9,3.2,3.6,10.5,10.6,15.1,12.7,18.2,5.0,18.3,15,22303
6,100.0,31.4,68.6,2.2,61.5,7.4,5.3,1.7,0.5,54.0,1.07,23.8,1.4,4.0,7.3,0.0,56.3,31.4,24.9,43.7,7.3,9.6,13.2,7.5,17.7,12.4,15.7,6.5,10.1,29.0,7339,37.8,49.1,10.5,2.7,7376,6837,0.3,1.6,2.0,6.1,5.8,12.9,18.8,20.8,10.6,21.2,15,22301
7,100.0,29.5,70.5,2.0,43.2,3.9,3.2,0.5,0.1,39.3,1.05,40.1,0.9,8.2,5.6,0.0,49.2,29.5,19.7,50.8,9.4,11.8,13.9,8.3,20.6,14.3,9.8,6.5,5.4,28.9,16448,49.0,25.5,8.2,17.2,16449,15536,1.4,0.9,2.1,4.2,7.4,15.6,16.7,22.1,13.3,16.4,17,22202
8,100.0,29.8,70.2,1.7,55.1,6.7,5.7,0.4,0.6,48.4,1.07,27.4,1.6,6.9,7.4,0.0,56.6,29.8,26.8,43.4,8.2,10.6,11.4,7.3,17.4,15.4,15.5,8.2,6.1,30.6,21562,50.9,37.6,5.7,5.8,21673,20074,1.4,0.9,2.6,4.3,8.7,16.2,15.6,18.8,10.8,20.5,17,22314
9,100.0,6.9,93.1,0.5,59.9,5.6,4.0,1.2,0.3,54.3,1.05,33.9,0.6,1.2,3.8,0.0,59.9,26.2,33.7,40.1,5.3,10.8,15.2,6.3,18.1,11.8,18.6,10.7,3.4,34.0,9603,38.2,39.9,17.1,4.7,9603,9234,2.8,3.6,4.2,10.5,11.0,14.7,13.6,15.5,5.7,18.2,17,22303
